id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1010030227944,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1010030227944,,Mission Design Intern,SatSure Analytics India,Bengaluru,2026-02-11,,,,,,,False,,,organic,,"KaleidEO, a subsidiary of SatSure, is an upstream leader in Earth Observation, building a full\-stack company from India. As an *analytics\-first* payload innovator, we specialize in building next\-generation, high\-resolution, multispectral payloads with edge computing and wide coverage capabilities.
Rooted in SatSure’s legacy of building applications across sectors like Utilities, Agriculture, Aviation, BFSI, and Climate Action, KaleidEO also provides end\-to\-end EO solutions—from payload development and launch to mission operations and data analytics.
We are seeking a Mission Design Intern to support mission design, operational planning, and tasking\-related activities for Earth observation satellite missions. This role is structured to provide hands\-on exposure to real\-world mission design workflows, technical documentation, and planning concepts, while contributing to ongoing engineering and product development efforts under guidance.**Responsibilities*** Support satellite mission design and operational planning activities for Earth Observation payloads.
* Assist in analysing mission requirements, constraints, and system trade\-offs across orbit, payload, and operations domains.
* Contribute to the preparation and maintenance of clear, accurate technical documentation.
* Participate in testing, validation, or review of mission planning and tasking\-related tools and models.
* Conduct technical research and communicate findings through structured reports and presentations.

**Qualifications*** Strong analytical and problem\-structuring skills.
* Clear written and verbal communication skills, particularly for technical topics.
* Ability to learn new concepts, tools, and workflows efficiently.
* Comfortable working independently with guidance and feedback.
* Pursuing or recently completed a Bachelor’s degree in Aerospace Engineering, Mechanical Engineering, Software Engineering, or a related discipline.
* Working knowledge of Python, Java, or a similar programming language.
* Foundational understanding of orbital mechanics, space mission design, or Earth observation systems.
* Familiarity with basic software development practices and version control tools (e.g., Git).

**Preferred Skills*** Exposure to mission planning, scheduling, or optimization concepts.
* Introductory knowledge of operations research or numerical optimization.
* Familiarity with mission analysis or simulation tools (e.g., STK, GMAT, or equivalent).
* Interest in mission design and analysis, payload planning, tasking, and scheduling problems.

**Selection Process**
Resume shortlisting
Technical interview**Additional Details****Duration:** 3\-6 months**Location:** Bangalore",,https://www.glassdoor.co.in/Overview/W-EI_IE4629454.htm,https://media.glassdoor.com/sql/4629454/satsure-squareLogo-1703741931203.png,,,,,,,,,,,
in-9aa9ae6e223b8051,indeed,https://in.indeed.com/viewjob?jk=9aa9ae6e223b8051,https://boards.greenhouse.io/phonepe/jobs/7623855003,Software Engineer : React Native,PhonePe,"KA, IN",2026-02-11,fulltime,,,,,,False,,,,,"**About PhonePe Limited:**



Headquartered in India, its flagship product, the PhonePe digital payments app, was launched in Aug 2016\. As of April 2025, PhonePe has over 60 Crore (600 Million) registered users and a digital payments acceptance network spread across over 4 Crore (40\+ million) merchants. PhonePe also processes over 33 Crore (330\+ Million) transactions daily with an Annualized Total Payment Value (TPV) of over INR 150 lakh crore.

  



PhonePe’s portfolio of businesses includes the distribution of financial products (Insurance, Lending, and Wealth) as well as new consumer tech businesses (Pincode \- hyperlocal e\-commerce and Indus AppStore Localized App Store for the Android ecosystem) in India, which are aligned with the company’s vision to offer every Indian an equal opportunity to accelerate their progress by unlocking the flow of money and access to services.

  


**Culture:**



At PhonePe, we go the extra mile to make sure you can bring your best self to work, Everyday!. And that starts with creating the right environment for you. We empower people and trust them to do the right thing. Here, you own your work from start to finish, right from day one. PhonePe\-rs solve complex problems and execute quickly; often building frameworks from scratch. If you’re excited by the idea of building platforms that touch millions, ideating with some of the best minds in the country and executing on your dreams with purpose and speed, join us!


**Job Description:**



We are seeking a skilled React Native App Developer with 5 to 8 years of experience to join our dynamic development team. The ideal candidate will have a strong foundation in mobile app development, particularly with React Native, and a passion for creating user\-friendly and efficient applications.


**Key Responsibilities:**


* Develop and maintain cross\-platform mobile applications using React Native.
* Collaborate with UI/UX designers to implement designs and ensure a seamless user experience.
* Work closely with Native Android / iOS team to build hybrid solutions.
* Work closely with backend developers to integrate APIs and other services.
* Optimize applications for maximum speed and scalability.
* Participate in code reviews, testing, and debugging to ensure high\-quality code.
* Stay updated with the latest industry trends, tools, and technologies to enhance development efficiency.
* Troubleshoot and resolve issues related to mobile app performance and functionality.
* Contribute to the continuous improvement of development processes and workflows.


**Required Qualifications:**


* Bachelor’s degree in Computer Science, Engineering, or a related field.
* 5 to 8 years of professional experience in mobile app development, with at least 4 years of experience in React Native.
* Strong knowledge of JavaScript, TypeScript, and related frameworks.
* Experience with RESTful APIs, third\-party libraries, and integration.
* Familiarity with native build tools, like VS, Webstorm, XCode, Android Studio, etc.
* Proficient understanding of version control tools, such as Git.
* Experience with state management libraries such as Redux, MobX, or Context API.
* Experience with automated testing frameworks like Jest, Detox, or Appium.
* Understanding of CI/CD pipelines and mobile app deployment processes.
* Solid understanding of the mobile app development lifecycle and best practices.
* Familiarity with performance tuning, memory management, and debugging of mobile applications.
* Excellent problem\-solving skills and attention to detail.
* Strong communication skills and the ability to work collaboratively in a team environment.
**PhonePe Full Time Employee Benefits (Not applicable for Intern or Contract Roles)**


* **Insurance Benefits \-** Medical Insurance, Critical Illness Insurance, Accidental Insurance, Life Insurance
* **Wellness Program \-** Employee Assistance Program, Onsite Medical Center, Emergency Support System
* **Parental Support \-** Maternity Benefit, Paternity Benefit Program, Adoption Assistance Program, Day\-care Support Program
* **Mobility Benefits \-** Relocation benefits, Transfer Support Policy, Travel Policy
* **Retirement Benefits \-** Employee PF Contribution, Flexible PF Contribution, Gratuity, NPS, Leave Encashment
* **Other Benefits \-** Higher Education Assistance, Car Lease, Salary Advance Policy

  


***Our inclusive culture promotes individual expression, creativity, innovation, and achievement and in turn helps us better understand and serve our customers. We see ourselves as a place for intellectual curiosity, ideas and debates, where diverse perspectives lead to deeper understanding and better quality results. PhonePe is an equal opportunity employer and is committed to treating all its employees and job applicants equally; regardless of gender, sexual preference, religion, race, color or disability. If you have a disability or special need that requires assistance or reasonable accommodation, during the application and hiring process, including support for the interview or onboarding process,*** ***please fill out this form.***


***Read more about PhonePe*** ***on our blog******.***",,https://in.indeed.com/cmp/Phonepe,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/da331e8e70c941340b42723f48a9d55e,,,,,,,,,,,
in-f53cdb0aca446b3d,indeed,https://in.indeed.com/viewjob?jk=f53cdb0aca446b3d,https://www.pega.com/about/careers/23302/software-quality-test-engineer,Software Quality Test Engineer,Pegasystems,"KA, IN",2026-02-11,,,,,,,False,,,,,"**Meet Our Team:**
------------------



As a member of an innovative team of IT professionals, you will work closely with talented engineers and product owners across the globe to build and deploy enterprise applications that are used to run our business internally at Pega. The IT QA team plays an important role in helping Pega to grow by partnering with the business to roll out high quality, scalable, enterprise applications for internal teams (Finance, Legal, Sales, Marketing, Consulting, HR, Order Management, IT), external stakeholders, clients and partners. We strive for excellence and embrace agile methodologies to achieve it.

**Picture Yourself at Pega:**
-----------------------------



Pega is changing the way the world builds software. In this role \- The Senior Software Quality Test Engineer will be a member of the IT QA teams. You will provide testing services for a Center of Excellence SCRUM team in one of Pegasystems’ internal departments. And you will be responsible for creating test plans, test cases, regression test suites, creating automated tests and take ownership for the overall quality of the products. You will also work collaboratively with the QA lead, technical lead, software engineers, product owners and business users to develop quality application.

**What You'll Do at Pega:**
---------------------------


* + Work collaboratively with team members to design, develop, test and document high quality test specifications.
	+ Demonstrates best practices in functional and automated testing.
	+ Provide technical assistance to advance the capabilities of products and resolve issues.
	+ Leverage your advanced Pega knowledge to identify, investigate and report product defects.
	+ Ability to collaborate with the Product Owner to understand use cases and effectively design a solution to satisfy use cases.
	+ Ability to work across teams and communicate priorities effectively.
	+ Ability to provide constructive feedback during code reviews, retrospectives, design reviews, etc.
	+ Ability to serve as a representative of the team working with stakeholders.
	+ Guide team members on test planning, test execution, and test automation technologies
	+ Strong desire for product quality and understanding of test strategy and methodology; ability to communicate test strategy effectively across teams.
	+ Should be able to mentor new team members or interns as part of on boarding.
**Who You Are:**
----------------


* + You are passionate about test automation and code quality and eager to develop your skills within an enterprise environment while working with an industry leading product.
	+ You have practical knowledge of software testing best practices, testing terminologies, and writing test automations with at least one technology.
	+ You think outside the box and use your experience for more effective collaboration.
	+ You are competent in test planning along with identifying, documenting, and executing test cases.
	+ You are also competent with debugging the test failures.
	+ You have basic skills required to technically lead QA testing of projects at a team level.
	+ You share your updates, ideas and plans competently through verbal and written communications. Attention to detail is your proficiency.
**What You've Accomplished:**
-----------------------------


* + Bachelor’s degree in computer science or related technical discipline / BE/B. Tech or Equivalent
	+ 2 \- 4 years of experience developing test plans from use cases
	+ Practical knowledge of software testing best practices
	+ Software test experience with Java, Selenium, TestNG, or other technologies
	+ Exposure to Windows and Linux operating systems
	+ Experience in testing mobile applications, web applications, UI, applets, client/server, portals, or warehousing
	+ Experience testing RESTful/SOAP APIs
	+ Troubleshooting, debugging and reverse\-engineering skills.
	+ Experience with modern scripting languages (Shell, Python, Perl) will be an added advantage.
	+ Agile/Scrum development methodology experience
	+
**Pega Offers You:**
--------------------


* Gartner Analyst acclaimed technology leadership across our categories of products.
* Continuous learning and development opportunities
* An innovative, inclusive, agile, flexible, and fun work environment
* Competitive global benefits program inclusive of pay and bonus incentive, employee equity in the company.
* The opportunity to make a tangible impact on Pega's business operations and ability to scale.


\#LI\-SJ1


  
**AI in Action –** Pega embraces the power of artificial intelligence. We encourage all employees to actively engage with AI technologies and continually explore ways to responsibly integrate AI into our products and processes. We may support parts of our recruitment process with automatic processing and, if required by law, you may in such cases have the right to request human intervention, challenge the outcome of such processing and comment on it.


**Culture –** At Pegasystems, we foster an environment where people feel valued and empowered to contribute their best. With global clients across industries and regions, we know our success depends on the unique perspectives, experiences, and talents of our people. Ours is a workplace where everyone can grow, collaborate, and deliver meaningful outcomes.



We encourage candidates from all backgrounds and experiences and focus on the core competencies and mindset needed to thrive in a role.



As an Equal Opportunity employer, Pegasystems will not discriminate in its employment practices due to an applicant's race, color, religion, sex, sexual orientation, gender identity, national origin, age, genetic information, veteran or disability status, or any other category protected by law.


**Export Compliance –** For positions requiring access to technical data subject to export control regulations such as this, Pegasystems may need to obtain export license approval from the U.S. Government and EU Authorities for certain individuals.


**Accommodations –** If you require reasonable accommodations under the Americans with Disabilities Act (US only) or comparable regional regulations in completing this application, interviewing, completing any pre\-employment testing, or otherwise participating in the employee selection process, please contact us here or contact (US only) 1\-888\-PEGA\-NOW and/or 225 Wyman Street Waltham, MA 02451 ATTN: Benefits.",Internet And Software,https://in.indeed.com/cmp/Pegasystems,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/21754bb4d1cfbef341d22b983827e1fd,https://www.pega.com/,"One Rogers Street
Cambridge, MA 02142","1,001 to 5,000",$500M to $1B (USD),Pega develops software applications for customer engagement and operational excellence.,,,,,,
in-a6d1a1864341dc3f,indeed,https://in.indeed.com/viewjob?jk=a6d1a1864341dc3f,https://satsure.keka.com/careers/jobdetails/126771?source=indeed%20job%20posts,Mission Design Intern,,"KA, IN",2026-02-11,internship,,,,,,False,,,,,"KaleidEO, a subsidiary of SatSure, is an upstream leader in Earth Observation, building a full\-stack company from India. As an *analytics\-first* payload innovator, we specialize in building next\-generation, high\-resolution, multispectral payloads with edge computing and wide coverage capabilities.
Rooted in SatSure’s legacy of building applications across sectors like Utilities, Agriculture, Aviation, BFSI, and Climate Action, KaleidEO also provides end\-to\-end EO solutions—from payload development and launch to mission operations and data analytics.
We are seeking a Mission Design Intern to support mission design, operational planning, and tasking\-related activities for Earth observation satellite missions. This role is structured to provide hands\-on exposure to real\-world mission design workflows, technical documentation, and planning concepts, while contributing to ongoing engineering and product development efforts under guidance.**Responsibilities*** Support satellite mission design and operational planning activities for Earth Observation payloads.
* Assist in analysing mission requirements, constraints, and system trade\-offs across orbit, payload, and operations domains.
* Contribute to the preparation and maintenance of clear, accurate technical documentation.
* Participate in testing, validation, or review of mission planning and tasking\-related tools and models.
* Conduct technical research and communicate findings through structured reports and presentations.

**Qualifications*** Strong analytical and problem\-structuring skills.
* Clear written and verbal communication skills, particularly for technical topics.
* Ability to learn new concepts, tools, and workflows efficiently.
* Comfortable working independently with guidance and feedback.
* Pursuing or recently completed a Bachelor’s degree in Aerospace Engineering, Mechanical Engineering, Software Engineering, or a related discipline.
* Working knowledge of Python, Java, or a similar programming language.
* Foundational understanding of orbital mechanics, space mission design, or Earth observation systems.
* Familiarity with basic software development practices and version control tools (e.g., Git).

**Preferred Skills*** Exposure to mission planning, scheduling, or optimization concepts.
* Introductory knowledge of operations research or numerical optimization.
* Familiarity with mission analysis or simulation tools (e.g., STK, GMAT, or equivalent).
* Interest in mission design and analysis, payload planning, tasking, and scheduling problems.

**Selection Process**
Resume shortlisting
Technical interview**Additional Details****Duration:** 3\-6 months**Location:** Bangalore",,,,,,,,,,,,,,
in-674ee7abe778a279,indeed,https://in.indeed.com/viewjob?jk=674ee7abe778a279,https://www.att.jobs/job/-/sr-associate-app-prod-support/117/91576496320?source=jb_indeed_org&utm_source=indeed.com&utm_medium=organic&utm_campaign=organic&utm_content=job_aggregator&utm_term=418039196,Sr Associate App/Prod Support,AT&T,"KA, IN",2026-02-10,fulltime,,,,,,False,,,,,"**Job Description:**


Job Description:


About the Team:


Contact Center Tier 1\.5 Team, Supports contact center applications providing 24x7 support for


our agents who intern support our external customers. like Avaya OneX/Softphones, Coral


Voice/Chat, Qfiniti, SingleCTI, Genesys, etc. This team front ends all contact center issues


reported by agents and their supervisors. This team also conducts morning shakeout of all


applications before all major contact centers open for business and to support all Teams


Channels for quick response to experts. This team will also help monitor all alerts and


dashboards and proactively engage the next tier team during outages. This team resolves issues


related to above applications and involves Tier 2 and Call to work teams if needed. The role of


the team will be further enhanced to support other contact center applications in the future.


About the Job This is a Contact Center Technical support role based out of Bangalore/India. The job role involves supporting 24x7x365 and the engineers will have to follow rotational shifts including night shifts. The role requires the candidate with a minimum of 2\+ years of experience in a technical support role, preferably supporting Contact Center Infrastructure and applications like Genesys, Avaya, ICM, Coral, Verint, Qfiniti, Affiniti, etc., Exposure to skill on any Cloud contact centers will also be good. The role requires a basic to medium level of understanding of Network fundamentals, Telecom fundamentals and Contact Center (Call Center technology) fundamentals and to be able to provide Tier 1/1\.5 technical support for contact center applications. The role needs expertise on ticketing systems (Service Now, AOTS or any other), proficient with Incident management, Monitoring and Service request management process with excellent communication skills both verbal and written.


Responsibilities and Day\-to\-Day View:


1\) Install and configure contact center and desktop applications (Softphones, VPN, agent


desktop applications and other 3rd party contact center applications.)


2\) Continuously monitor and maintain systems and networks (alert management)


3\) Respond to technical support calls/tickets (Tier 1/1\.5\) from other support groups or


customers/business and perform initial triage and resolve issues wherever possible


and escalate/transfer issues to Tier 2/3 or other support groups as needed. Ensure SLA’s are met all times. 4\) Diagnose and troubleshoot system, network and application problems, software/hardware complications. 5\) Support the rollout of new applications/onboarding support of new contact center applications and technologies. 6\) Collaborate with other IDC groups in India and support other teams on need basis. 7\) Escalation of issues that cannot be resolved within time to Tier2/3 teams as per the process. 8\) Monitor different chat queues in MS Teams and communicate/support as per the guidelines. 9\) Proactive checks to be performed across the platform to ensure stability of services. 10\) Outage management and collaboration with other support teams for delivering better customer service and higher uptime.


Skillset Required:


1\) Understanding of Telecommunication concepts


2\) Knowledge of telephony systems and protocols


3\) Knowledge of any contact center technologies and cloud contact centers (Genesys,


Avaya, Cisco, etc.,


4\) Familiarity with call center technology terminologies and its basic functioning like IVR,


ACD, Call recording/tracking, skill based routing/intelligent call routing, chat bots, Queue


call back(courtesy call back), Inbound and Outbound, unified communications, etc.,


5\) Expertise in ticketing systems


6\) Able to triage basic desktop/laptop issues impacting the functioning of core applications


7\) Operations support experience.


8\) Good understanding of ITIL process/certification


9\) Excellent communication skills, both verbal and written


10\) Analytical and problem\-solving skills.


11\) Team working skills.


12\) Ability to think logically and strategically.


13\) Flexibility and adaptability @ work.


14\) Customer service skills


Qualification:


Any Bachelor’s degree


Experience: 2\+ years of experience in relevant areas.


Certifications like ITIL, CCNA or other Voice certifications would be good

**Weekly Hours:**


40**Time Type:**


Regular**Location:**


IND:KA:Bengaluru / Innovator Building, Itpb, Whitefield Rd \- Adm: Intl Tech Park, Innovator Bldg
It is the policy of AT\&T to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, AT\&T will provide reasonable accommodations for qualified individuals with disabilities. AT\&T is a fair chance employer and does not initiate a background check until an offer is made.",,https://in.indeed.com/cmp/AT&T,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/786b557b652fed5a331aa11f7dabb17c,http://work.att.jobs/Indeed,"Dallas, TX","10,000+",more than $10B (USD),"Our people have been changing how communities live, work and play for over 140 years. We're shaping the future by inspiring progress, standing for equality and making a difference through #LifeAtATT.",,,,,,
in-df85430948bd9d19,indeed,https://in.indeed.com/viewjob?jk=df85430948bd9d19,https://www.amazon.jobs/jobs/3177826/support-engineer-iii-payment-services?cmpid=DA_INAD200785B,"Support Engineer III, Payment Services",Amazon.com,"KA, IN",2026-01-29,fulltime,,,,,,False,,,,,"**DESCRIPTION**
---------------


Amazon has earned a reputation for excellence in the world by leading innovative technologies. Our humongous scale helps interns experience the thrill of working in a system of humongous scale. We are looking for you if you are a highly determined/motivated engineer who loves challenges and commits to improvement every day. Our Support Engineers get an exposure to disruptive technologies applied in our software solutions. They collaborate with software development teams to raise the engineering and operational excellence to define the future.  

  

Key job responsibilities  

* As a Support Engineer Intern you will:
* Play vital role in helping us leverage supporting and developing technologies on any platform to increase global collaboration, increase efficiency, and meet our controller ship requirements
* Directly work with development teams to improve the applications built by conducting technical mitigations and deep dives on reported issues to find the cause and corrective actions
* Work with our other technical teams to ensure the design is effective and complements of our in house custom developed applications across platform stacks (including SQL, Java/.NET/C\#/Perl/Python) or SaaS
* Work on proactive detection mechanism to report dip in software performance by building efficient metrics/monitors/alarms using our in house tools
* Build tools and automations to optimize the system, simplify processes, etc.
**BASIC QUALIFICATIONS**
------------------------

* 2\+ years of software development, or 2\+ years of technical support experience
* Experience scripting in modern program languages
* Experience troubleshooting and debugging technical systems

**PREFERRED QUALIFICATIONS**
----------------------------

* Knowledge of web services, distributed systems, and web application development
* Experience troubleshooting \& maintaining hardware \& software RAID
* Experience with REST web services, XML, JSON

  

Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how\-we\-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",Internet And Software,https://in.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,,,,,,
nk-101025501314,naukri,https://www.naukri.com/job-listings-associate-software-engineer-trainees-baryons-software-solutions-bengaluru-0-to-1-years-101025501314,,Associate Software Engineer Trainees,Baryons Software Solutions,"Bengaluru, India",,,,,,,,False,,,,,,,https://www.naukri.com/baryons-solutions-jobs-careers-1119124,https://img.naukimg.com/logo_images/groups/v1/2801250.gif,,,,,,,,1.9,21.0,,Work from office
nk-281124500130,naukri,https://www.naukri.com/job-listings-software-engineer-trainee-enterprise-state-of-the-art-software-bengaluru-0-to-1-years-281124500130,,Software Engineer Trainee,Enterprise State Of The Art Software,"Bengaluru, India",,,,,,,,False,,,,,,,https://www.naukri.com/enterprise-state-of-the-art-jobs-careers-124308836,https://img.naukimg.com/logo_images/groups/v1/11053396.gif,,,,,,,,,,,Work from office
nk-230424501925,naukri,https://www.naukri.com/job-listings-dot-net-software-engineer-v2-software-technologies-pvt-ltd-bengaluru-0-to-10-years-230424501925,,Dot NET Software Engineer,V2 Software Technologies,"Bengaluru, India",,,,,,,,False,,,,,,,https://www.naukri.com/v2-technologies-jobs-careers-2041960,https://img.naukimg.com/logo_images/groups/v1/7788449.gif,,,,,,,,,,,Work from office
nk-211124507153,naukri,https://www.naukri.com/job-listings-trainee-software-engineer-xpredict-automation-solutions-bengaluru-0-to-1-years-211124507153,,Trainee Software Engineer,Xpredict Automation Solutions,"Bengaluru, India",,,,,,,,False,,,,,,,https://www.naukri.com/xpredict-automation-solutions-jobs-careers-124482240,https://img.naukimg.com/logo_images/groups/v1/7491327.gif,,,,,,,,,,,Work from office
